DATE,Real_Effective,SP500,BUSLOANS,Month_3,CPIAUCSL,CCI,Inflation,Housing,long_term,NFCI,M3,Unemployment_Rate,SMB,HML,RMW,CMA,Mkt_minus_RF,F_D,E_D,C_D
1975-07-01,113.86,88.75,183.651,6.55,54,98.68261,0.0972,11.72,8.06,-0.6475,9.75E+11,8.6,3.42,1.7,0.43,1.19,-6.59,23.28968864,22.82451506,7.541798528
1975-08-01,115.23,86.879997,182.9282,6.87,54.2,98.69677,0.086,10.95,8.4,-0.566,9.83E+11,8.4,-2.79,-0.9,1.03,-0.89,-2.85,21.31332141,19.27941117,3.548020038
1975-09-01,115.26,83.870003,182.822,7.03,54.6,98.72337,0.0791,10.91,8.43,-0.4,9.92E+11,8.4,0.02,0.34,0.53,0.5,-4.26,12.96409125,10.75153415,1.473531629
1975-10-01,114.9,89.040001,182.7142,6.56,54.9,98.83214,0.0744,11.32,8.14,-0.264,9.98E+11,8.4,-4.23,0.3,-0.46,2.27,5.31,17.67548261,12.92099813,1.81924116
1975-11-01,115.19,91.239998,182.6189,6.26,55.3,99.07213,0.0738,11.41,8.05,-0.2825,1.01E+12,8.3,-1.07,1.99,-0.62,1.71,2.64,12.44113926,6.276100705,0.280815085
1975-12-01,115.95,90.190002,183.3586,6.03,55.6,99.35911,0.0694,11.14,8,-0.4625,1.02E+12,8.2,-0.03,1.76,-0.12,0.6,-1.6,3.261455072,2.921497116,0.225093836
1976-01-01,114.55,100.860001,182.6481,5.14,55.8,99.58169,0.0672,11.82,7.74,-0.738,1.03E+12,7.9,6.35,8.58,-1.9,2.36,12.16,24.92145032,16.16066016,5.956648493
1976-02-01,113.52,99.709999,182.0444,5.18,55.9,99.66043,0.0629,11.94,7.79,-0.9325,1.04E+12,7.7,7.97,5.78,-2.58,3.84,0.32,9.860273335,4.636300759,0.587560645
1976-03-01,113.65,102.769997,179.4877,5.34,56,99.67143,0.0607,11.67,7.73,-0.98,1.05E+12,7.6,-1.34,-0.04,-0.38,1.09,2.32,11.79859981,7.398578892,0.523750554
1976-04-01,113.26,101.639999,177.4755,5.12,56.1,99.71757,0.0605,11.51,7.56,-0.924,1.06E+12,7.7,0.14,-0.06,0.39,-1.1,-1.49,10.43554285,8.976860871,1.534152607
1976-05-01,113.48,100.18,178.4326,5.56,56.4,99.86747,0.062,11.18,7.9,-0.8125,1.07E+12,7.4,-1.12,-1.32,2.47,-1.42,-1.34,16.33834533,13.75238554,3.333377235
1976-06-01,113.96,104.279999,179.102,5.84,56.7,100.0594,0.0597,11.01,7.86,-0.77,1.08E+12,7.6,-1.13,0.68,-0.59,0.93,4.05,9.156007529,4.698860104,0.184889174
1976-07-01,113.47,103.440002,179.1423,5.52,57,100.1977,0.0535,11.14,7.83,-0.822,1.09E+12,7.8,0.62,1.74,-1.09,0.29,-1.07,14.1370476,10.76852472,4.333376666
1976-08-01,113.46,102.910004,179.7949,5.39,57.3,100.2063,0.0571,10.93,7.77,-0.8875,1.10E+12,7.8,-2.03,0.79,-0.46,-0.59,-0.56,5.606646287,4.493489513,1.013017295
1976-09-01,115.57,105.239998,181.1732,5.33,57.6,100.1376,0.0549,11.05,7.59,-0.91,1.11E+12,7.6,0.12,-0.29,0.99,-1.14,2.07,7.220218482,2.462946379,0.23748122
1976-10-01,115.76,102.900002,182.4383,5.12,57.9,100.0592,0.0546,10.54,7.41,-0.89,1.13E+12,7.7,0.16,-0.13,-0.22,-0.31,-2.42,8.035661054,7.040116292,2.23889717
1976-11-01,117.08,102.099998,183.9005,5.01,58.1,100.0189,0.0488,10.34,7.29,-0.845,1.14E+12,7.8,2.65,1.51,-1.39,0.08,0.36,4.459280942,3.058141652,0.061279556
1976-12-01,115.51,107.459999,185.2478,4.67,58.4,100.0196,0.0486,10.57,6.87,-0.826,1.15E+12,7.8,3.61,2.22,-0.62,2.23,5.65,9.693302598,6.074575506,2.556479942
1977-01-01,114.16,102.029999,185.7874,4.83,58.7,100.0632,0.0522,10.41,7.21,-0.8725,1.17E+12,7.5,5.9,4.26,-0.53,1.93,-4.05,7.903077056,6.786635619,3.123281173
1977-02-01,114.88,99.82,187.4113,4.83,59.3,100.154,0.0591,10.08,7.39,-0.9075,1.18E+12,7.6,1.11,0.5,-0.13,-0.19,-1.94,14.97548918,13.34060161,6.682262808
1977-03-01,114.73,98.419998,189.1547,4.84,59.6,100.2585,0.0644,9.98,7.46,-0.8775,1.19E+12,7.4,1.29,1.02,-0.32,-0.09,-1.37,7.843975187,6.49397803,1.322081844
1977-04-01,113.89,98.440002,190.2948,4.8,60,100.3342,0.0695,9.72,7.37,-0.764,1.20E+12,7.2,0.59,3.45,-2.03,1.16,0.15,6.113396395,5.808636164,0.759154543
1977-05-01,113.57,96.120003,191.7797,5.36,60.2,100.344,0.0673,9.58,7.46,-0.615,1.21E+12,7,1.28,0.84,0.33,0.11,-1.45,3.792848453,3.021411151,0.766712873
1977-06-01,113.41,100.480003,193.5548,5.42,60.5,100.3,0.0687,9.53,7.28,-0.5225,1.22E+12,7.2,2.07,-0.64,0.88,-1.22,4.71,9.634503152,7.5481518,2.079381869
1977-07-01,112.07,98.849998,195.1835,5.46,60.8,100.2075,0.0683,9.53,7.33,-0.46,1.23E+12,6.9,1.82,-0.59,0.83,0.01,-1.69,2.969756545,2.43180804,0.321408402
1977-08-01,112.18,96.769997,197.4881,5.9,61.1,100.0624,0.0662,9.21,7.4,-0.39,1.24E+12,7,0.89,-2.79,0.96,-0.62,-1.75,10.04044739,5.731788003,3.775565758
1977-09-01,111.87,96.529999,198.9991,6.19,61.3,99.89842,0.066,8.99,7.34,-0.292,1.25E+12,6.8,1.56,-0.49,1.23,-0.84,-0.27,4.627788399,3.578072312,0.307325178
